Transaction log: 2014.02.19 11:23



 Transaction detail for BAC
      Date           Open           High            Low          Close
1986.08.08       6.1100000       6.1725000       6.1100000       6.1412500
1986.08.11       6.1250000       6.2187500       6.1250000       6.2037500
1986.08.12       6.2187500       6.2187500       6.1725000       6.2037500
1986.08.13       6.1875000       6.2812500       6.1875000       6.2812500
1986.08.14       6.2500000       6.3287500       6.2500000       6.2812500
1986.08.15       6.2812500       6.3600000       6.2812500       6.3125000
1986.08.18       6.2975000       6.3125000       6.2662500       6.2812500
1986.08.19       6.2662500       6.3125000       6.2500000       6.3125000
1986.08.20       6.2812500       6.3125000       6.2662500       6.2812500
1986.08.21       6.2662500       6.3125000       6.2350000       6.2350000
1986.08.22       6.2037500       6.2975000       6.1875000       6.2812500
1986.08.25       6.2812500       6.2812500       6.2350000       6.2350000
1986.08.26       6.2662500       6.3287500       6.2500000       6.3287500
1986.08.27       6.3125000       6.3750000       6.2812500       6.3437500
1986.08.28       6.3600000       6.4062500       6.3125000       6.3912500
1986.08.29       6.3750000       6.4062500       6.3125000       6.3750000
1986.09.02       6.3437500       6.3600000       6.2350000       6.2662500
1986.09.03       6.2350000       6.2975000       6.2350000       6.2975000
1986.09.04       6.2975000       6.3750000       6.2500000       6.3750000
1986.09.05       6.3125000       6.3287500       6.2350000       6.2662500
1986.09.08       6.2500000       6.2662500       6.2187500       6.2500000
1986.09.09       6.2187500       6.2350000       6.1562500       6.1725000
1986.09.10       6.1562500       6.1562500       6.0625000       6.1250000
1986.09.11       6.1100000       6.1100000       5.7500000       5.7812500
   *** buy 100 @        5.781250  (avg =     6.227500, cash =     -586.125000, shares =      100)
1986.09.12       5.7812500       5.7812500       5.4375000       5.4375000
   *** buy 100 @        5.500000  (avg =     6.206250, cash =    -1144.125000, shares =      200)
1986.09.15       5.5000000       5.5000000       5.2500000       5.4375000
1986.09.16       5.4375000       5.4375000       5.2662500       5.4062500
1986.09.17       5.4375000       5.4687500       5.3600000       5.4375000
1986.09.18       5.4687500       5.4687500       5.2812500       5.3437500
1986.09.19       5.3750000       5.4062500       5.3125000       5.4062500
1986.09.22       5.4375000       5.4687500       5.3912500       5.4687500
1986.09.23       5.5000000       5.5162500       5.3750000       5.5162500
1986.09.24       5.5625000       5.8125000       5.5162500       5.8125000
1986.09.25       5.8125000       5.8437500       5.6250000       5.7500000
1986.09.26       5.7187500       5.7812500       5.6562500       5.7187500
1986.09.29       5.6250000       5.6412500       5.5162500       5.6412500
1986.09.30       5.5787500       5.6562500       5.4687500       5.6562500
1986.10.01       5.6562500       5.7662500       5.6562500       5.6875000
1986.10.02       5.6875000       5.6875000       5.5000000       5.5475000
1986.10.03       5.5625000       5.7187500       5.5625000       5.7037500
1986.10.06       5.6875000       5.7500000       5.6875000       5.7350000
1986.10.07       5.7350000       5.7500000       5.7037500       5.7500000
1986.10.08       5.7500000       5.7500000       5.7037500       5.7350000
